Site,Core,CorePositionTop,YearADTop,NumYrsSample,TotalDryWtSeds,TotalParrot,PropParrot,TotParrotTeethPerYr
Bakers,C,0,1938.299539,9.414968624,248.1,2,0.2,0.212427686
Bakers,C,70,1928.88457,6.724977589,198.65,0,0,0
Bakers,C,120,1922.159593,6.724977589,268.8,4,0.2,0.594797521
Bakers,C,170,1915.434615,6.724977589,239.7,9,0.5,1.338294423
Bakers,C,220,1908.709637,6.724977589,194,0,0,0
Bakers,C,270,1901.98466,6.724977589,230.6,19,0.38,2.825288226
Bakers,C,320,1895.259682,6.724977589,216.6,17,0.26984127,2.527889465
Bakers,C,370,1888.534705,6.724977589,240.2,9,0.243243243,1.338294423
Bakers,C,420,1881.809727,6.724977589,179.3,3,0.333333333,0.446098141
Bakers,C,470,1875.084749,5.401211954,263.3,32,0.405063291,5.924596234
Bakers,C,520,1869.683538,5.401211954,190.6,30,0.555555556,5.554308969
Bakers,C,570,1864.282326,5.401211954,218.7,18,0.305084746,3.332585381
Bakers,C,620,1858.881114,5.401211954,236.1,42,0.461538462,7.776032557
Bakers,C,670,1853.479902,6.481454345,306.7,29,0.475409836,4.474304447
Bakers,C,730,1846.998447,5.941333149,,,,
Bakers,C,785,1841.057114,5.401211954,,,,
Bakers,C,835,1835.655902,5.401211954,220.3,46,0.582278481,8.516607086
Bakers,C,885,1830.25469,5.401211954,,,,
Bakers,C,935,1824.853478,5.401211954,,,,
Bakers,C,985,1819.452266,6.132642158,199.1,39,0.375,6.359412304
Bakers,C,1035,1813.319624,6.132642158,,,,
Bakers,C,1085,1807.186982,6.132642158,,,,
Bakers,C,1135,1801.05434,6.132642158,240.1,44,0.483516484,7.174721574
Bakers,C,1185,1794.921698,6.132642158,,,,
Bakers,C,1235,1788.789056,6.132642158,,,,
Bakers,C,1285,1782.656413,6.132642158,226.9,24,0.296296296,3.913484495
Bakers,C,1335,1776.523771,6.132642158,,,,
Bakers,C,1385,1770.391129,6.132642158,,,,
Bakers,C,1435,1764.258487,6.132642158,191.3,49,0.475728155,7.990030844
Bakers,C,1485,1758.125845,6.132642158,,,,
Bakers,C,1535,1751.993203,6.132642158,,,,
Bakers,C,1585,1745.86056,8.585699022,353.5,70,0.514705882,8.153092698
Bakers,C,1655,1737.274861,6.745906374,,,,
Bakers,C,1710,1730.528955,6.29632505,,,,
Bakers,C,1760,1724.232631,6.296324489,221.8,37,0.5,5.876444276
Bakers,C,1810,1717.936306,6.296324489,,,,
Bakers,C,1860,1711.639982,6.296324489,,,,
